호선,역번호,역명,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,150,서울역,승차,153893,105837,87212,104040,124832,121961,129661,106894,105737,125898,125294,100603
1,150,서울역,하차,149524,101892,81642,97573,117595,114498,122361,100768,97195,118855,117950,93205
1,151,시청,승차,87309,57500,38752,41107,46882,45839,52981,48655,39617,46797,48758,38777
1,151,시청,하차,87943,56435,37135,39686,45432,44881,52425,47473,37608,45391,47405,36511
1,152,종각,승차,130952,88734,66790,75670,89895,91863,100826,88437,76070,91234,89293,72533
1,152,종각,하차,122955,82799,61941,70989,84494,86708,95401,82637,71481,86276,82870,67248
1,153,종로3가,승차,311034,203648,163152,193990,230705,221216,239883,202807,190619,226721,215011,156122
1,153,종로3가,하차,289891,190089,154094,184472,218751,209140,226457,191731,179615,212040,200109,145573
1,154,종로5가,승차,220444,160534,146690,172877,208864,198979,208358,168224,171740,192640,177958,155994
1,154,종로5가,하차,211853,153414,140816,166234,200846,191052,200249,161398,164394,186487,170350,150090
1,155,동대문,승차,100568,73194,64602,78735,94964,89684,91588,73166,77158,90481,87435,72789
1,155,동대문,하차,104548,73630,65163,81202,99605,94044,95144,74965,78545,94055,90066,72352
1,156,신설동,승차,96396,76088,65439,74300,86901,84825,89386,71935,76112,86931,80140,68913
1,156,신설동,하차,91123,72326,62267,70949,83635,81346,86011,69389,72728,83636,77579,67083
1,157,제기동,승차,297590,179659,149742,188555,209668,192415,205820,174600,217786,223203,212168,168763
1,157,제기동,하차,321444,191365,161330,203096,225663,207888,222060,188060,238354,240788,228033,181346
1,158,청량리,승차,271243,179550,158628,187848,213062,201225,212852,181470,206785,210521,203141,169342
1,158,청량리,하차,277987,181063,161462,192072,218475,207180,218792,187549,217343,216838,206658,171440
1,159,동묘앞,승차,116140,81847,82614,102021,117824,106878,109437,85702,101443,123006,108159,90781
1,159,동묘앞,하차,118069,83648,83355,102982,119016,108174,111906,86613,101849,124959,109279,91796
2,201,시청,승차,45906,33446,26962,28377,32456,33356,36958,31442,27366,32012,34856,28011
2,201,시청,하차,41322,30107,24030,25239,28815,29439,32991,27564,23813,28347,30848,24195
2,202,을지로입구,승차,89390,56962,47170,51988,62320,65493,71548,59893,55242,65027,65410,54575
2,202,을지로입구,하차,82681,52824,42866,47899,57880,60834,66041,55745,51466,60290,60679,50425
2,203,을지로3가,승차,69102,52215,38018,41815,48996,51647,55883,46968,43024,49234,52484,43036
2,203,을지로3가,하차,68679,50957,36726,41201,48721,50510,54346,45654,41855,48713,51352,41583
2,204,을지로4가,승차,74212,56785,53665,60198,68390,67667,70155,58757,65029,65469,65013,60378
2,204,을지로4가,하차,72171,54505,51911,58726,66620,64830,68135,56651,63359,64443,63229,58582
2,205,동대문역사문화공원,승차,44499,31748,26271,30916,37658,37442,39453,30636,30203,36708,36742,31098
2,205,동대문역사문화공원,하차,47368,33066,27712,32600,39986,40131,41747,32515,32172,39466,38897,32400
2,206,신당,승차,80409,61161,53299,60570,69774,66795,70351,60797,62806,68715,68055,58514
2,206,신당,하차,82957,63104,55340,62240,71394,68712,72725,62455,64521,71047,69978,60092
2,207,상왕십리,승차,53328,40747,32463,36818,43479,43114,46088,39231,38208,43150,43485,36415
2,207,상왕십리,하차,53747,41182,33103,37175,44089,43581,46322,40020,39030,43626,44124,37098
2,208,왕십리,승차,43909,32845,26156,29410,34299,33518,35894,30372,29161,33828,33763,27781
2,208,왕십리,하차,37208,27751,22153,25260,29518,29178,31141,26275,24889,29147,29054,24003
2,209,한양대,승차,10455,7905,6730,7330,8557,8458,8932,7903,7702,8531,8687,7170
2,209,한양대,하차,11200,8118,6808,7648,9043,8840,9335,8184,8013,9062,9224,7542
2,210,뚝섬,승차,45095,35706,30209,33552,38271,37794,40105,33931,33934,38825,38392,31663
2,210,뚝섬,하차,45421,35940,30584,34059,38884,38357,40653,34422,34562,39285,39023,32161
2,211,성수,승차,72965,58736,50987,54707,60713,60791,64780,55296,55491,61148,63019,54269
2,211,성수,하차,74294,60313,52391,56227,62082,62229,66566,56500,56734,62469,64387,55267
2,212,건대입구,승차,73248,54750,44740,50151,58849,58765,61793,51518,51187,61051,59806,48882
2,212,건대입구,하차,75381,56254,45981,51738,60720,60423,63496,53747,52839,62788,61803,50730
2,213,구의,승차,86087,65250,53697,60252,70314,69909,73173,62142,59533,69214,68897,58122
2,213,구의,하차,87865,67427,55803,62077,72255,72310,75523,64274,61155,70741,70870,60716
2,214,강변,승차,109335,74670,56738,67926,85449,84716,87271,73189,67246,85731,81346,61030
2,214,강변,하차,106273,72308,55433,66864,84011,82613,85548,71867,66431,85242,80585,59534
2,215,잠실나루,승차,73975,50817,38510,44777,55642,57550,61172,49274,47323,56770,57071,45638
2,215,잠실나루,하차,74578,50875,38774,45296,56419,58176,61816,49825,47720,57194,57748,46020
2,216,잠실,승차,157682,99422,75536,89753,117086,117379,126801,103575,94273,121826,119801,91374
2,216,잠실,하차,151919,94764,71675,85493,111215,112390,122482,99019,89509,115467,114757,87255
2,217,잠실새내,승차,92120,65698,50780,57900,71504,71318,75495,63135,60782,70060,69952,57192
2,217,잠실새내,하차,91853,65723,51268,58148,72096,71819,75711,63917,61115,70735,70474,57780
2,218,종합운동장,승차,39000,24899,15895,17697,24913,24369,26702,22106,20555,27016,28203,19497
2,218,종합운동장,하차,40111,25835,16267,18554,26299,25740,27743,23156,21010,28434,29487,19404
2,219,삼성,승차,94259,71717,55707,59654,72032,77378,81894,67288,61087,71173,75563,63723
