연번,호선,역번호,역명,구분,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월
1,1,150,서울역,승차,96145,96348,128841,129618,126996,130131,115976,112574,117336,140544,142590,123773
2,1,150,서울역,하차,89987,90123,121362,122614,120488,123525,109893,107251,112294,134782,135422,116706
3,1,151,시청,승차,35764,36928,49878,49686,47164,48723,44137,43505,44951,53922,58352,52404
4,1,151,시청,하차,33840,35192,48518,48051,47078,48728,42906,42220,44145,54413,58588,52199
5,1,152,종각,승차,67225,71667,91828,88536,88797,90465,83938,83341,81862,91964,97337,95087
6,1,152,종각,하차,62538,67011,85771,83183,84101,85809,78926,77777,77001,86613,90578,89066
7,1,153,종로3가,승차,156745,169500,224558,215387,213648,218921,197536,204372,208811,234360,233288,212521
8,1,153,종로3가,하차,146500,158449,211295,201008,200777,204726,186552,192976,195661,219001,217853,200221
9,1,154,종로5가,승차,150305,155159,210933,205036,205107,208599,189677,184876,190545,210861,201163,191506
10,1,154,종로5가,하차,143700,149634,204530,198838,196981,200905,181921,177051,184110,203657,192583,182961
11,1,155,동대문,승차,69456,71064,90901,90742,93026,92187,84519,80660,85523,96062,94114,87916
12,1,155,동대문,하차,68982,69958,90862,90247,92685,92190,83478,80175,84410,95947,93422,86326
13,1,156,신설동,승차,67258,70913,88446,87281,85810,86570,79546,79449,84560,90578,91248,84697
14,1,156,신설동,하차,65482,68168,85881,84154,82743,83345,76875,77132,81666,87992,87456,81991
15,1,157,제기동,승차,180053,182266,225362,220999,206683,206579,182943,188302,216485,223709,219501,199922
16,1,157,제기동,하차,194394,197760,240396,237574,221734,223237,197646,204478,236158,240702,235567,214604
17,1,158,청량리,승차,174581,179432,211761,209780,204806,202248,185338,190341,201805,208072,200726,189395
18,1,158,청량리,하차,176863,182135,212715,209822,207601,207245,189973,195812,207958,211770,205496,191025
19,1,159,동묘앞,승차,94306,99429,122303,122843,125240,117015,100127,106005,116453,129944,114966,102235
20,1,159,동묘앞,하차,95795,101413,124444,124540,126052,117823,100421,106084,117289,130485,115862,103076
21,2,201,시청,승차,26424,26656,35537,34789,32789,34833,31736,31099,30765,36619,39778,36671
22,2,201,시청,하차,22784,23443,31601,30828,29048,30281,28092,28111,27823,32448,36093,32975
23,2,202,을지로입구,승차,51578,51693,67343,65115,60666,65810,58440,57405,58825,66517,70242,69472
24,2,202,을지로입구,하차,47706,48185,63215,60207,56358,61177,54573,52806,55105,61667,64930,64276
25,2,203,을지로3가,승차,42085,42026,54779,53742,51809,53573,49606,47233,47477,52842,58131,56172
26,2,203,을지로3가,하차,40352,41136,53277,52664,50589,52506,47924,46115,46800,52604,57433,55184
27,2,204,을지로4가,승차,62516,54971,68678,66102,62953,65599,61642,61269,62261,64597,66833,66254
