철도운영기관명,선명,역명,지상구분,역층,면적
서울교통공사,1호선,동대문,지하,2,3400
서울교통공사,1호선,동대문,지하,1,2090
서울교통공사,1호선,동묘앞,지하,2,5132
서울교통공사,1호선,동묘앞,지하,1,5132
서울교통공사,1호선,서울역,지하,1,8725
서울교통공사,1호선,서울역,지하,2,2080
서울교통공사,1호선,시청,지하,2,2888
서울교통공사,1호선,시청,지하,1,7760
서울교통공사,1호선,신설동,지하,1,4164
서울교통공사,1호선,신설동,지하,2,3076
서울교통공사,1호선,제기동,지하,2,2815
서울교통공사,1호선,제기동,지하,1,5105
서울교통공사,1호선,종각,지하,2,2092
서울교통공사,1호선,종각,지하,1,6993
서울교통공사,1호선,종로3가,지하,1,5628
서울교통공사,1호선,종로3가,지하,2,3683
서울교통공사,1호선,종로5가,지하,1,6860
서울교통공사,1호선,종로5가,지하,2,3605
서울교통공사,1호선,청량리(서울시립대입구),지하,1,5354
서울교통공사,1호선,청량리(서울시립대입구),지하,2,1771
코레일,1호선,가능,지상,1,2035
코레일,1호선,가능,지상,2,1018
코레일,1호선,가산디지털단지,지상,1,2875
코레일,1호선,가산디지털단지,지상,2,1200
코레일,1호선,간석,지상,2,
코레일,1호선,간석,지상,1,
코레일,1호선,개봉,지상,2,1626
코레일,1호선,개봉,지상,1,3952
코레일,1호선,관악,지상,1,
코레일,1호선,관악,지상,2,
코레일,1호선,광명,지하,2,
코레일,1호선,광명,지상,1,
코레일,1호선,광명,지하,1,
코레일,1호선,광운대,지상,1,
코레일,1호선,광운대,지하,1,
코레일,1호선,광운대,지상,2,
코레일,1호선,구로,지상,1,1684
코레일,1호선,구로,지상,3,1684
코레일,1호선,구일,지상,1,
코레일,1호선,구일,지상,2,
코레일,1호선,군포,지상,1,30804545
코레일,1호선,군포,지상,2,45
코레일,1호선,금정,지상,1,1841
코레일,1호선,금정,지상,2,1841
코레일,1호선,금천구청,지상,1,
코레일,1호선,금천구청,지상,2,
코레일,1호선,남영,지상,1,
코레일,1호선,노량진,지상,2,3000
코레일,1호선,노량진,지상,1,21000
코레일,1호선,노량진,지하,1,
코레일,1호선,녹양,지상,1,
코레일,1호선,녹양,지상,2,
코레일,1호선,녹천,지상,1,
코레일,1호선,녹천,지상,2,
코레일,1호선,당정,지상,1,
코레일,1호선,당정,지상,2,
코레일,1호선,대방,지상,2,343
코레일,1호선,대방,지상,1,1820
코레일,1호선,덕계,지상,1,2539.77
코레일,1호선,덕계,지상,2,3941.55
코레일,1호선,덕정,지상,2,706
코레일,1호선,덕정,지상,1,3780
코레일,1호선,도봉,지상,1,
코레일,1호선,도봉,지상,2,
코레일,1호선,도봉산,지상,2,
코레일,1호선,도봉산,지상,1,
코레일,1호선,도원,지상,1,
코레일,1호선,도원,지상,2,
코레일,1호선,도화,지상,2,
코레일,1호선,도화,지상,1,
코레일,1호선,독산,지상,1,2658
코레일,1호선,독산,지상,2,
코레일,1호선,동두천,지상,3,2443.86
코레일,1호선,동두천,지상,1,624.62
코레일,1호선,동두천중앙,지상,2,3430.99
코레일,1호선,동두천중앙,지상,3,3430
