철도운영기관명,선명,역명,지상구분,역층,면적
코레일,1호선,오산,지상,2,
코레일,1호선,오산대,지상,1,2890
코레일,1호선,오산대,지상,2,
코레일,1호선,온수,지상,1,
코레일,1호선,온수,지상,2,
코레일,1호선,온양온천,지상,2,
코레일,1호선,온양온천,지상,3,
코레일,1호선,외대앞,지상,1,
코레일,1호선,외대앞,지상,2,
코레일,1호선,용산,지상,1,
코레일,1호선,용산,지상,2,
코레일,1호선,용산,지상,3,
코레일,1호선,용산,지상,4,
코레일,1호선,월계,지상,1,
코레일,1호선,월계,지상,2,
코레일,1호선,의왕,지상,1,
코레일,1호선,의왕,지상,2,
코레일,1호선,의정부,지상,1,5676
코레일,1호선,의정부,지상,3,4661
코레일,1호선,의정부,지하,1,135
코레일,1호선,인천,지상,1,
코레일,1호선,인천,지상,2,
코레일,1호선,제물포,지상,1,737
코레일,1호선,제물포,지상,2,2905
코레일,1호선,주안,지상,1,
코레일,1호선,주안,지상,2,2682
코레일,1호선,주안,지하,1,778
코레일,1호선,중동,지상,1,783.88
코레일,1호선,중동,지상,2,2559.46
코레일,1호선,평택지제,지상,1,
코레일,1호선,평택지제,지상,2,89.5
코레일,1호선,지행,지상,1,
코레일,1호선,지행,지상,2,
코레일,1호선,직산,지상,1,827
코레일,1호선,진위,지상,1,
코레일,1호선,진위,지상,2,
코레일,1호선,창동,지상,1,3450
코레일,1호선,천안,지상,1,488.7
코레일,1호선,천안,지상,3,5928.48
코레일,1호선,평택,지상,1,
코레일,1호선,평택,지상,2,
코레일,1호선,화서,지상,1,4645.5
코레일,1호선,회기,지상,1,2596.1
코레일,1호선,회기,지상,2,4441.4
코레일,1호선,회룡,지상,1,
코레일,1호선,회룡,지상,2,
코레일,1호선,창동,지상,2,
코레일,1호선,노량진,지하,1,
코레일,1호선,동인천,지상,1,
코레일,1호선,동인천,지상,2,
코레일,1호선,광명,지상,1,
코레일,1호선,광명,지하,1,
코레일,1호선,광명,지하,2,
코레일,1호선,영등포,지상,1,
코레일,1호선,영등포,지상,2,
코레일,1호선,영등포,지상,3,
코레일,1호선,온양온천,지상,1,
코레일,1호선,백운,지상,1,
코레일,1호선,백운,지상,2,
코레일,1호선,병점,지상,1,330.58
코레일,1호선,병점,지상,2,330.58
코레일,1호선,보산,지상,2,
코레일,1호선,보산,지상,3,
코레일,1호선,봉명,지상,1,247.58
코레일,1호선,봉명,지상,2,1900.41
코레일,1호선,부개,지상,1,
코레일,1호선,부개,지상,2,
코레일,1호선,부천,지상,1,
코레일,1호선,부천,지하,1,
코레일,1호선,부평,지상,1,213.8
코레일,1호선,서동탄,지상,1,8231
코레일,1호선,서정리,지상,1,
코레일,1호선,서정리,지상,2,
코레일,1호선,석계,지상,1,
코레일,1호선,석계,지상,2,
코레일,1호선,석계,지하,1,
코레일,1호선,석계,지하,2,
코레일,1호선,석계,지하,3,
코레일,1호선,석수,지상,1,
코레일,1호선,석수,지상,2,
코레일,1호선,성균관대,지상,1,
코레일,1호선,성균관대,지상,3,
코레일,1호선,성환,지상,1,
코레일,1호선,성환,지상,2,
코레일,1호선,세류,지상,1,1902
코레일,1호선,세류,지상,2,1902
코레일,1호선,세마,지상,1,7880
코레일,1호선,세마,지상,2,7880
코레일,1호선,소사,지상,1,1836
코레일,1호선,소사,지상,2,1836
코레일,1호선,소요산,지상,1,
코레일,1호선,송내,지상,1,3027
코레일,1호선,송내,지상,2,4142
코레일,1호선,송탄,지상,1,
코레일,1호선,송탄,지상,2,
코레일,1호선,수원,지상,1,4033
코레일,1호선,수원,지상,2,2985
코레일,1호선,신길,지상,1,
코레일,1호선,신길,지상,2,
코레일,1호선,신도림,지상,1,6000
코레일,1호선,신도림,지상,2,2130
코레일,1호선,신도림,지상,3,5117
코레일,1호선,신도림,지하,1,
코레일,1호선,신도림,지하,2,
코레일,1호선,신이문,지상,1,
코레일,1호선,신이문,지상,2,
코레일,1호선,신창(순천향대),지상,1,
코레일,1호선,신창(순천향대),지상,2,
코레일,1호선,쌍용(나사렛대),지상,1,830
코레일,1호선,쌍용(나사렛대),지상,2,2250
코레일,1호선,아산,지상,1,302
코레일,1호선,아산,지상,2,1540
코레일,1호선,안양,지상,1,
코레일,1호선,안양,지상,2,
코레일,1호선,양주,지상,1,
코레일,1호선,양주,지상,2,
코레일,1호선,역곡,지상,1,
코레일,1호선,역곡,지상,2,
코레일,1호선,오류동,지상,1,
코레일,1호선,오류동,지상,2,
코레일,1호선,오산,지상,1,
코레일,1호선,관악,지상,1,
코레일,1호선,관악,지상,2,
코레일,1호선,광운대,지하,1,
코레일,1호선,광운대,지상,1,
코레일,1호선,광운대,지상,2,
코레일,1호선,가능,지상,1,2035
코레일,1호선,가능,지상,2,1018
코레일,1호선,가산디지털단지,지상,1,2875
코레일,1호선,가산디지털단지,지상,2,1200
코레일,1호선,간석,지상,1,
코레일,1호선,간석,지상,2,
코레일,1호선,개봉,지상,1,3952
코레일,1호선,개봉,지상,2,1626
코레일,1호선,구로,지상,1,1684
코레일,1호선,구로,지상,3,1684
코레일,1호선,구일,지상,1,
코레일,1호선,구일,지상,2,
코레일,1호선,군포,지상,1,30804545
코레일,1호선,군포,지상,2,45
코레일,1호선,금정,지상,1,1841
코레일,1호선,금정,지상,2,1841
코레일,1호선,금천구청,지상,1,
코레일,1호선,금천구청,지상,2,
코레일,1호선,남영,지상,1,
코레일,1호선,노량진,지상,1,21000
코레일,1호선,노량진,지상,2,3000
코레일,1호선,녹양,지상,1,
코레일,1호선,녹양,지상,2,
코레일,1호선,녹천,지상,1,
코레일,1호선,녹천,지상,2,
코레일,1호선,당정,지상,1,
코레일,1호선,당정,지상,2,
코레일,1호선,대방,지상,1,1820
코레일,1호선,대방,지상,2,343
코레일,1호선,덕계,지상,1,2539.77
코레일,1호선,덕계,지상,2,3941.55
코레일,1호선,덕정,지상,1,3780
코레일,1호선,덕정,지상,2,706
코레일,1호선,도봉,지상,1,
코레일,1호선,도봉,지상,2,
