지하철역,면적,층수
가락시장,23794.1,6
가산디지털단지,12551.5,4
강남,6392.0,2
강남구청,10359.3,3
강동,18984.6,4
강동구청,5613.2,3
강변,5077.0,2
강일,10179.19,3
개롱,6440.2,2
개화산,7846.8,4
거여,6554.1,3
건대입구,17610.5,6
경복궁,12700.2,3
경찰병원,9801.1,3
고덕,6288.1,2
고려대,9869.3,4
고속터미널,30179.9,6
공덕,22479.0,6
공릉,8554.6,4
광나루,7995.9,3
광명사거리,8713.6,3
광화문,10051.3,4
광흥창,7675.7,3
교대,19239.9,5
구로디지털단지,5754.0,3
구산,4844.8,4
구의,5584.0,3
구파발,5442.0,2
군자,18034.8,6
굴포천,8061.3,2
굽은다리,4838.6,2
금호,6086.0,2
길동,5006.3,3
길음,6765.0,2
김포공항,11008.5,3
까치산,7868.9,5
까치울,7026.1,2
낙성대,6502.0,2
남구로,9854.4,5
남부터미널,14336.5,3
남성,8852.2,3
남태령,6086.0,3
남한산성입구,5412.3,3
내방,9963.9,3
노원,20085.1,7
녹번,6439.0,2
녹사평,10677.6,5
논현,11834.6,3
단대오거리,8133.2,3
답십리,7858.3,3
당고개,9165.4,3
당산,6385.0,3
대림,15835.5,5
대청,9540.5,3
대치,8138.3,4
대흥,9147.5,3
도곡,12895.8,4
도림천,4496.9,5
도봉산,6971.0,2
독립문,5294.3,3
독바위,5530.7,6
돌곶이,6434.8,2
동대문,13708.3,6
동대문역사문화공원,30365.5,10
동대입구,8945.8,3
동묘앞,21032.3,10
동작,10536.2,3
둔촌동,5342.4,2
둔촌오륜,7544.3,2
디지털미디어시티,11066.2,3
뚝섬,8384.0,3
뚝섬유원지,5768.1,3
마곡,6763.9,2
마들,9595.6,3
마장,7123.5,3
마천,5935.9,4
마포,8193.4,5
마포구청,8423.6,3
망원,5520.8,2
매봉,7321.0,2
먹골,9265.7,3
면목,8621.0,4
명동,7820.4,4
명일,5090.3,2
모란,9918.8,3
목동,7392.7,2
몽촌토성,7414.7,3
무악재,6658.8,3
문래,6213.0,2
문정,5194.0,2
미사,14021.59,2
미아,6367.0,2
미아사거리,8433.0,2
반포,12401.8,3
발산,6807.6,2
방배,5951.0,2
방이,5789.4,2
방화,7402.7,2
버티고개,6278.8,4
보라매,8423.1,2
보문,6587.6,3
복정,6585.9,2
봉은사,9825.3,2
봉천,5234.0,2
봉화산,9799.8,2
부천시청,8668.6,2
부천종합운동장,9237.3,2
부평구청,16345.1,3
불광,15065.5,7
사가정,8149.0,4
사당,23643.0,5
산성,6526.6,4
삼각지,23621.4,6
삼산체육관,7829.5,2
삼성,6447.0,2
삼성중앙,8016.2,2
삼전,8644.1,2
