조사연도,조사일자,호선,역명,방향,06시 이전,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23시 이후
2017,주말,1호선,동대문,상선,4.8,7.8,11.0,10.55,14.05,19.4,27.0,36.35,38.9,35.7,40.45,39.7,36.5,30.25,23.700000000000003,24.05,26.7,28.450000000000003,15.6
2017,주말,1호선,동대문,하선,8.4,9.1,9.1,18.45,24.35,27.6,32.25,40.0,43.15,45.1,41.35,45.75,39.0,23.85,17.1,11.65,14.3,10.7,6.4
2017,주말,1호선,동묘앞,상선,3.7,8.1,10.8,9.85,12.15,17.4,22.1,31.05,33.45,31.450000000000003,37.35,38.55,35.1,28.4,21.85,22.0,23.9,25.7,14.25
2017,주말,1호선,동묘앞,하선,8.1,9.55,9.75,19.1,26.05,28.8,36.1,40.85,44.8,45.650000000000006,41.0,45.5,39.8,23.6,16.65,11.45,13.6,10.2,5.85
2017,주말,1호선,서울역,상선,4.2,8.7,11.8,16.700000000000003,20.9,27.65,40.95,43.25,43.6,39.15,35.95,36.75,28.6,22.450000000000003,18.2,16.85,18.3,20.65,11.35
2017,주말,1호선,서울역,하선,9.9,8.65,7.6,13.05,20.4,22.1,26.5,32.2,39.2,43.95,47.2,57.55,48.55,39.150000000000006,31.700000000000003,24.8,28.2,23.45,11.25
2017,주말,1호선,시청,상선,3.1,8.5,10.9,13.5,19.0,24.950000000000003,36.65,43.4,40.95,39.65,35.1,36.7,29.4,22.9,18.9,18.3,20.15,21.8,12.4
2017,주말,1호선,시청,하선,8.3,8.35,7.5,12.2,18.0,20.4,24.25,30.15,34.599999999999994,43.5,43.1,55.45,45.1,33.95,29.6,20.7,23.45,19.1,9.7
2017,주말,1호선,신설동,상선,3.9,7.7,10.15,9.75,13.1,16.45,21.45,29.05,32.05,30.35,35.85,41.8,35.25,27.35,20.65,20.6,24.35,29.5,16.450000000000003
2017,주말,1호선,신설동,하선,14.6,10.2,9.7,17.45,23.5,27.65,37.6,38.05,40.95,39.65,35.05,37.5,35.75,21.45,15.7,11.25,13.7,9.4,5.75
2017,주말,1호선,제기동,상선,4.0,7.199999999999999,9.5,9.25,11.5,13.3,16.8,23.4,25.75,25.05,32.150000000000006,40.05,34.4,27.75,20.2,19.2,23.200000000000003,27.7,15.1
2017,주말,1호선,제기동,하선,14.0,9.7,9.3,16.9,22.2,26.4,36.8,36.55,38.5,37.75,32.3,34.25,33.6,19.6,14.1,10.55,13.3,8.85,5.75
2017,주말,1호선,종각,상선,3.2,8.5,10.55,12.2,16.25,22.35,32.85,40.5,37.8,37.25,37.15,36.0,32.05,26.15,21.5,21.7,24.200000000000003,25.85,14.8
2017,주말,1호선,종각,하선,10.5,7.55,7.800000000000001,13.0,18.35,21.1,25.4,30.8,35.05,42.35,41.1,51.1,42.95,30.7,26.05,17.5,20.65,16.75,8.2
2017,주말,1호선,종로3가,상선,3.4,8.5,11.55,12.35,15.8,23.25,33.05,42.75,42.05,38.6,40.05,39.1,36.15,28.8,23.5,23.65,25.55,27.35,15.35
2017,주말,1호선,종로3가,하선,9.9,7.6,8.35,14.55,21.0,23.25,27.85,34.0,37.3,42.4,40.15,48.6,40.8,26.95,21.2,14.4,16.3,13.15,6.449999999999999
2017,주말,1호선,종로5가,상선,3.4,8.3,11.25,11.05,14.6,21.35,29.5,38.95,39.45,36.3,39.95,38.0,35.849999999999994,29.5,23.7,23.55,25.8,27.55,16.25
