지하철역,호선명,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,1시이후 승차,1시이후 하차,총 이용객,유임승차인원,무임승차인원,유임하차인원,무임하차인원,주소,위도,경도
가산디지털단지,1호선,1340.0,6.133333333333334,8205.4,1980.5833333333333,7914.766666666666,10941.75,14763.35,46802.53333333333,14539.55,153276.75,11594.316666666668,72598.5,10380.716666666667,21970.766666666663,10997.616666666669,16996.766666666666,12513.066666666668,16409.233333333334,14100.0,17653.733333333334,14457.0,16749.566666666666,16167.333333333334,16943.65,21071.616666666665,18747.83333333333,50636.11666666667,23332.466666666667,110261.86666666668,27912.033333333333,49507.78333333333,22441.483333333334,29847.5,13175.716666666667,25568.88333333333,13044.05,17028.533333333333,11600.8,6963.9,6686.566666666667,182.5,1090.0166666666669,0.7,2.033333333333333,1180311.9833333334,418268.76666666666,29773.75,497380.25,32982.71666666667,서울 금천구 가산동 468-4,37.4803959660982,126.882661758356
개봉,1호선,1226.05,8.633333333333333,18414.966666666667,5494.8,36569.333333333336,11855.966666666667,95251.2,16530.883333333335,90883.65,26158.45,54553.4,20669.783333333333,38545.63333333333,17667.533333333333,34222.066666666666,20241.466666666667,35046.45,24447.716666666667,33677.73333333333,24229.85,29259.116666666665,28856.966666666667,27898.016666666663,34353.23333333333,30417.05,43570.26666666667,32939.28333333333,59967.05,33536.8,89897.23333333334,21150.85,78656.18333333333,16104.25,48984.7,14619.383333333331,44434.88333333333,10667.933333333332,39313.18333333333,4663.666666666667,24220.9,175.61666666666667,3167.9333333333334,0.3,2.283333333333333,1524459.1500000004,514742.3666666666,145080.38333333333,511793.65,150936.25,서울 구로구 개봉동 415,37.4946417150651,126.858715959622
광운대,1호선,1891.3,9.366666666666667,6056.233333333334,1672.75,13794.75,3227.133333333333,35362.75,6220.833333333333,32413.466666666667,16429.6,18051.68333333333,11265.15,13291.433333333332,10270.016666666666,12208.25,11619.4,13159.533333333333,10462.316666666668,12995.066666666668,11773.716666666667,12274.85,12263.583333333334,12628.166666666666,12307.833333333334,14629.933333333332,14697.45,16138.05,18099.283333333333,14093.133333333331,25823.13333333333,8531.2,24297.55,7336.7,16018.483333333334,6810.516666666666,13594.133333333331,5904.483333333334,13241.066666666668,2900.383333333333,10462.15,269.28333333333336,5110.433333333333,0.3333333333333333,32.96666666666667,711546.3499999999,209971.7,50769.8,198687.03333333333,50211.316666666666,서울 노원구 월계동 85,37.6238373628149,127.061695160651
구로,1호선,10105.066666666668,37.16666666666666,24259.666666666668,4950.85,20134.566666666666,12746.65,39252.01666666667,32344.65,40282.96666666667,84638.03333333334,28237.08333333333,45815.73333333333,22824.43333333333,27556.483333333334,22693.68333333333,24210.816666666666,24346.85,23295.05,25622.316666666666,24892.38333333333,25332.5,24442.233333333334,27402.816666666666,26069.516666666663,31692.25,29189.733333333334,46880.5,39258.6,72560.0,47757.41666666666,34684.51666666667,36711.86666666667,26485.88333333333,23328.983333333334,20549.83333333333,23882.95,14878.483333333334,21098.35,6382.883333333333,15549.283333333333,109.76666666666668,13847.733333333334,1.0166666666666666,73.48333333333333,1348323.566666667,476611.1166666666,88107.98333333334,496615.2,85082.76666666666,서울 구로구 구로동 585-3,37.50334155631282,126.88230806229326
구일,1호선,255.4333333333333,8.933333333333334,3688.483333333333,1420.15,9397.683333333332,3487.9666666666667,27301.4,7873.316666666667,24282.916666666668,15435.966666666667,12825.733333333334,9706.583333333334,9534.55,6608.016666666666,8910.0,6443.05,9459.116666666669,8575.85,9024.85,10129.95,8353.25,9745.016666666666,9453.566666666668,11415.466666666667,12329.25,14412.4,12994.45,18894.216666666667,13475.733333333334,28786.05,7653.383333333333,23821.533333333333,8564.866666666667,12756.95,11653.8,11259.033333333333,9463.6,10354.666666666666,3661.65,6322.066666666667,71.65,978.9333333333332,0.1,0.6166666666666667,632698.7,176276.35,36079.11666666667,182617.0833333333,35819.65,서울 구로구 구로동 636-45,37.496254517687,126.86969110539
금천구청,1호선,687.5333333333333,4.266666666666667,10650.816666666668,1619.1833333333334,18826.816666666666,6605.3,46120.23333333333,14967.566666666668,43286.05,29051.0,25230.38333333333,11699.4,18105.35,9318.0,16234.716666666667,9830.933333333332,16443.9,11703.133333333331,15641.9,13054.966666666667,13628.7,13948.383333333331,13757.666666666666,16799.05,15244.533333333333,20131.75,18244.066666666666,25369.58333333333,25964.1,39892.35,12555.316666666668,34353.3,8735.216666666667,19487.8,7489.616666666667,18883.8,5495.583333333333,16266.933333333332,1879.0166666666669,10432.866666666669,56.6,919.9833333333332,0.0666666666666666,1.1666666666666667,860525.4000000001,262041.55,72236.63333333333,251562.71666666667,72778.0,서울 금천구 시흥동 113-55,37.4561943743749,126.893608614581
남영,1호선,85.8,4.6,2739.616666666667,1154.1333333333334,4776.733333333334,7378.1,12478.783333333333,22498.93333333333,17879.983333333334,60659.85,11716.7,32383.9,10287.133333333331,15210.333333333334,11292.216666666667,12854.6,12340.35,12531.366666666669,13235.866666666669,13214.566666666668,13808.85,12020.416666666666,16343.65,12147.45,21133.8,13253.933333333332,26491.116666666665,16395.366666666665,48527.46666666667,22789.366666666665,21265.783333333333,17030.2,15373.483333333334,11017.833333333334,15080.5,10311.966666666667,12055.916666666666,9857.866666666669,5406.233333333334,6003.833333333333,277.3833333333333,1086.9333333333334,0.45,2.716666666666667,804312.5833333333,257165.0833333333,35432.73333333333,272928.75,36879.51666666667,서울 용산구 갈월동 96-1,37.540566672483216,126.97133096608212
노량진,1호선,433.05,5.966666666666667,5526.116666666667,1906.7333333333331,7898.9,8173.6,20168.166666666668,17274.616666666665,28805.63333333333,27191.6,16768.333333333332,18155.033333333333,13187.683333333332,12335.95,13824.766666666666,12970.366666666669,16123.95,15531.816666666668,19752.416666666668,17140.266666666666,17773.983333333334,14569.55,17881.05,15790.333333333334,19820.916666666668,18325.0,24153.166666666668,25110.666666666668,29298.45,39775.55,18753.416666666668,27507.75,18646.15,16554.083333333332,22892.466666666667,15022.85,26234.266666666663,13368.283333333333,9102.283333333333,8698.466666666667,399.5,1753.2,0.4833333333333333,5.683333333333334,876519.0166666665,306922.1,40523.05,289649.51666666666,37517.85,서울 동작구 노량진동 60-11,37.5135856714992,126.940893179777
녹천,1호선,956.3333333333334,9.05,4653.716666666666,863.5666666666667,8299.833333333334,1747.1166666666666,22024.88333333333,3872.45,19926.05,5093.916666666667,12477.233333333334,3027.9166666666665,8888.433333333332,3505.65,7591.516666666666,3491.2166666666667,8259.183333333332,4375.033333333334,7014.083333333333,4469.916666666667,6010.033333333334,4996.55,5705.6,6199.283333333334,6694.116666666667,7990.416666666667,6483.083333333333,9334.383333333331,5711.283333333334,13939.883333333331,3643.15,13883.1,2401.366666666667,8756.783333333333,2163.333333333333,7745.95,1578.6,7129.033333333334,598.1166666666667,5091.75,85.95,1343.4333333333334,0.0333333333333333,0.1833333333333333,459939.0166666667,104309.7,36856.23333333333,83144.96666666666,33721.61666666667,서울 도봉구 창동 57-11,37.644633445567656,127.05138201885734
대방,1호선,481.5833333333333,5.933333333333334,5933.833333333333,2556.7166666666667,11582.0,11105.35,31690.88333333333,35403.333333333336,42144.91666666666,53836.083333333336,24665.35,26665.466666666667,18348.63333333333,14819.283333333333,17427.716666666667,13140.85,19049.55,14502.0,20103.55,16622.633333333335,18728.35,15256.85,20048.68333333333,16461.0,21802.366666666665,19159.666666666668,32515.15,25269.58333333333,48723.7,38416.816666666666,21290.63333333333,29115.416666666668,15481.383333333331,19903.483333333334,14968.666666666666,19455.15,11955.283333333333,17643.083333333332,3518.883333333333,11020.866666666669,131.6,2253.7166666666667,0.2166666666666666,6.266666666666667,1005118.9833333332,335366.38333333336,65226.55,337454.4,65165.15,서울 영등포구 신길동 1368-3,37.51335413975466,126.92649449142719
