년도,대상,서울교통공사,서울메트로,서울특별시 도시철도공사,서울메트로 9호선(주),서울교통공사9호선운영부문,부산교통공사,대구도시철도공사,인천교통공사,광주광역시 도시철도공사,대전교통공사,부산-김해 경전철(주),의정부 경량전철(주),용인 경량전철(주),우이 신설경전철(주),김포골드라인(주),합계
2016,노인,0,121979,81162,9337,987,72059,33297,9498,4830,6823,0,3244,1796,0,0,345012
2016,장애인,0,27736,20278,2534,226,14535,7034,3137,1031,1736,974,988,524,0,0,80733
2016,국가유공자,0,2023,1473,166,18,963,394,141,72,114,77,41,18,0,0,5500
2016,기타,0,0,0,0,2,0,0,0,0,287,0,0,7,0,0,296
2017,노인,208466,0,0,9746,1103,77631,36211,14109,5092,7081,0,3556,2001,1195,0,366191
2017,장애인,46405,0,0,2529,228,14854,7180,4208,1017,1725,1000,984,523,201,0,80854
2017,국가유공자,3379,0,0,165,19,934,405,183,93,104,72,39,20,9,0,5422
2017,기타,0,0,0,0,0,0,0,0,0,302,0,6,8,1,0,317
2018,노인,212843,0,0,10156,1387,79920,37933,15522,5262,7188,0,3796,2226,4030,0,380263
2018,장애인,44967,0,0,2508,252,14717,7224,4348,984,1699,968,1007,523,661,0,79858
2018,국가유공자,3237,0,0,160,29,1036,402,187,80,101,73,40,21,26,0,5392
2018,기타,0,0,0,0,0,0,0,0,0,308,0,0,7,3,0,318
2019,노인,225094,0,0,11024,3559,85759,41228,17259,5440,7607,0,4207,2641,4569,559,408946
2019,장애인,45644,0,0,2546,580,15374,7509,4513,1035,1723,971,1046,569,718,97,82325
2019,국가유공자,3103,0,0,180,180,1102,403,193,76,96,70,40,19,26,9,5497
2019,기타,0,0,0,0,0,0,0,0,0,316,0,0,7,3,1,327
2020,노인,160053,0,0,7863,2724,64212,27784,12267,3625,4672,0,3220,1946,3600,1510,293476
2020,장애인,33460,0,0,1888,459,11611,5268,3347,677,1117,719,789,418,574,285,60612
2020,국가유공자,2177,0,0,133,170,811,262,131,40,62,49,30,13,21,19,3918
2020,기타,0,0,0,16,0,0,0,0,126,215,0,0,5,2,1,365
2021,노인,170771,0,0,8655,3118,67718,30933,14077,3660,4976,0,3557,2181,3878,1888,315412
2021,장애인,32868,0,0,1877,485,11502,5540,3583,670,1105,706,783,438,571,335,60463
2021,국가유공자,2109,0,0,133,186,789,269,134,37,64,46,30,15,23,20,3855
2021,기타,0,0,0,17,0,0,0,0,197,239,0,5,5,2,2,467
